Relation,1479,1501,drug,1469,1475,strength,semantic,hasAttr,,,
Relation,2336,2346,drug,2353,2364,route,semantic,hasAttr,,,
Relation,3564,3572,drug,3573,3580,form,semantic,hasAttr,,,
Relation,3837,3849,drug,3866,3874,form,semantic,hasAttr,,,
Relation,3837,3849,drug,3850,3853,strength,semantic,hasAttr,,,
Relation,3837,3849,drug,3855,3865,route,semantic,hasAttr,,,
Relation,3803,3811,drug,3818,3831,frequency,semantic,hasAttr,,,
Relation,3803,3811,drug,3812,3817,strength,semantic,hasAttr,,,
Relation,3769,3780,drug,3788,3801,frequency,semantic,hasAttr,,,
Relation,3769,3780,drug,3781,3787,strength,semantic,hasAttr,,,
Relation,2175,2193,problem,2172,2174,negation,semantic,hasAttr,,,
Relation,2863,2888,problem,2867,2877,bodyloc,semantic,hasAttr,,,
Relation,2297,2307,problem,2260,2274,negation,semantic,hasAttr,,,
Relation,1036,1073,problem,1050,1062,bodyloc,semantic,hasAttr,,,
Relation,1392,1436,problem,1389,1391,negation,semantic,hasAttr,,,
Relation,1236,1262,problem,1254,1262,bodyloc,semantic,hasAttr,,,
Relation,1335,1383,problem,1360,1378,bodyloc,semantic,hasAttr,,,
Relation,707,722,problem,707,713,severity,semantic,hasAttr,,,
Relation,2685,2713,problem,2695,2702,bodyloc,semantic,hasAttr,,,
Relation,1713,1750,problem,1731,1750,bodyloc,semantic,hasAttr,,,
Relation,2907,2923,problem,2917,2923,bodyloc,semantic,hasAttr,,,
Relation,2523,2532,problem,2523,2532,bodyloc,semantic,hasAttr,,,
Relation,2275,2295,problem,2260,2274,negation,semantic,hasAttr,,,
Relation,993,1018,problem,1023,1030,bodyloc,semantic,hasAttr,,,
Relation,1813,1842,problem,1820,1833,bodyloc,semantic,hasAttr,,,
Relation,1844,1869,problem,1856,1869,bodyloc,semantic,hasAttr,,,
Relation,944,961,problem,948,954,bodyloc,semantic,hasAttr,,,
Relation,3968,4002,problem,3984,3993,bodyloc,semantic,hasAttr,,,
Relation,3269,3292,problem,3273,3283,bodyloc,semantic,hasAttr,,,
Relation,864,881,problem,915,919,bodyloc,semantic,hasAttr,,,
Relation,3469,3497,problem,3508,3526,course,semantic,hasAttr,,,
Relation,1667,1711,problem,1696,1711,bodyloc,semantic,hasAttr,,,
Relation,2297,2307,problem,2239,2252,bodyloc,semantic,hasAttr,,,
Relation,1199,1224,problem,1211,1215,bodyloc,semantic,hasAttr,,,
Relation,2275,2295,problem,2239,2252,bodyloc,semantic,hasAttr,,,
Relation,1918,1941,problem,1918,1932,bodyloc,semantic,hasAttr,,,
Relation,2311,2321,problem,2260,2274,negation,semantic,hasAttr,,,
Relation,724,742,test,747,750,labvalue,semantic,hasAttr,,,
Relation,801,817,test,822,829,labvalue,semantic,hasAttr,,,
Relation,761,771,test,776,778,labvalue,semantic,hasAttr,,,
Relation,3140,3145,treatment,3146,3149,temporal,semantic,hasTemporal,,,
Relation,3469,3497,problem,3424,3445,temporal,semantic,hasTemporal,,,
