A	O
64-year-old	O
African	O
American	O
male	O
with	O
unknown	O
past	O
medical	O
history	O
arrived	O
in	O
the	O
trauma	O
bay	O
following	O
a	O
motor	O
vehicle	O
accident	O
.	O
On	O
initial	O
evaluation	B-GOAL
the	O
patient	O
was	O
alert	O
but	O
somewhat	O
confused	O
and	O
had	O
a	O
Glasgow	O
Coma	O
Scale	O
(GCS)	O
of	O
13	O
Focused	O
Assessment	O
with	O
Sonography	O
in	O
Trauma	O
(FAST)	B-IM
exam	O
was	O
performed	O
immediately	O
following	O
the	O
primary	O
survey	O
and	O
found	O
to	O
be	O
positive	O
in	O
the	O
hepatorenal	B-PI
space	O
.	O
The	O
patient	O
was	O
hemodynamically	O
stable	O
and	O
was	O
taken	O
for	O
further	O
imaging	O
including	O
CT	B-IM
of	O
the	O
head	O
cervical	O
spine	O
chest	O
abdomen	O
and	O
pelvis	O
that	O
revealed	O
multiple	O
injuries	B-PI
including	O
subarachnoid	O
hemorrhage	B-PI
anterior	O
left	O
3rd–8th	O
rib	O
fractures	B-PI
right	O
posterior	O
1st–3rd	O
rib	O
fractures	B-PI
peri-hepatic	O
and	O
peri-splenic	O
hematomas	B-PI
and	O
a	O
left	O
lower	O
quadrant	O
mesenteric	O
hematoma	B-PI
with	O
active	O
extravasation	O
.	O
The	O
patient	O
was	O
admitted	O
to	O
the	O
ICU	O
and	O
underwent	O
conservative	O
man-agement	O
of	O
mesenteric	O
peri-hepatic	O
and	O
peri-splenic	O
hematomas	B-PI
.	O
On	O
hospital	O
day	O
6	O
the	O
patient's	O
mental	O
status	O
began	O
to	O
deteriorate	B-PI
prompting	O
an	O
immediate	O
CT	B-IM
of	O
his	O
head	O
and	O
EEG	B-IM
which	O
were	O
both	O
negative	O
.	O
A	O
repeat	O
CT	B-IM
abdomen	O
and	O
pelvis	O
study	O
was	O
not	O
ordered	O
at	O
this	O
time	O
.	O
The	O
patient	O
was	O
thought	O
to	O
be	O
experiencing	O
post-traumatic	O
encephalopathy	B-PI
and	O
eventually	O
declined	B-PI
to	O
GCS	O
3T	O
.	O
After	O
discussion	O
with	O
family	O
the	O
decision	O
was	O
made	O
to	O
perform	O
tracheostomy	B-SurgicalProcedure
and	O
laparoscopic	O
gastrostomy	B-SurgicalProcedure
tube	O
placement	O
.	O
The	O
patient	O
was	O
prepped	O
and	O
draped	O
in	O
usual	O
sterile	B-SurgicalPrep
fashion	O
and	O
the	O
tracheostomy	B-SurgicalProcedure
was	O
performed	O
first	O
.	O
We	O
then	O
turned	O
our	O
attention	O
to	O
the	O
patient's	O
abdomen	B-SurgicalLocation
for	O
laparoscopic	O
gastrostomy	B-SurgicalProcedure
tube	O
placement	O
.	O
We	O
began	O
by	O
gaining	O
access	O
to	O
the	O
abdomen	B-SurgicalLocation
with	O
a	O
Veress	O
needle	O
through	O
Palmer's	B-SurgicalLocation
point	B-SurgicalLocation
.	O
The	O
abdomen	B-SurgicalLocation
was	O
insufflated	O
to	O
15	O
mmHg	O
.	O
The	O
patient	O
then	O
developed	O
significant	O
hypotension	B-PI
without	O
a	O
decrease	O
in	O
end	O
tidal	O
carbon	O
dioxide	O
.	O
We	O
partially	O
evacuated	O
the	O
capnoperitoneum	O
with	O
no	O
improvement	B-PI
in	O
hemodynamic	O
status	O
.	O
At	O
this	O
point	O
we	O
rapidly	O
inserted	O
the	O
laparoscope	O
which	O
showed	O
widespread	O
hemoperitoneum	B-PI
.	O
We	O
were	O
unable	O
to	O
identify	O
the	O
source	O
laparoscopically	B-SurgicalProcedure
and	O
elected	O
to	O
convert	O
to	O
an	O
open	O
procedure	O
.	O
Upon	O
opening	O
the	O
abdomen	B-SurgicalLocation
we	O
were	O
easily	O
able	O
to	O
identify	O
an	O
active	O
splenic	O
hemorrhage	B-PI
the	O
splenic	O
capsule	O
was	O
not	O
specifically	O
noted	O
at	O
this	O
time	O
.	O
The	O
spleen	B-SurgicalLocation
was	O
rapidly	O
medialized	O
and	O
the	O
hilum	O
was	O
controlled	O
manually	O
with	O
an	O
immediate	O
improvement	B-GOAL
in	O
blood	O
pressure	O
.	O
The	O
spleen	B-SurgicalLocation
was	O
removed	O
using	O
a	O
GIA	O
stapler	O
and	O
the	O
remainder	O
of	O
the	O
abdomen	B-SurgicalLocation
was	O
inspected	O
with	O
no	O
further	O
injury	O
noted	O
.	O
The	O
patient	O
was	O
transfused	B-SurgicalPrep
two	O
units	O
of	O
packed	O
red	O
blood	O
cells	O
and	O
taken	O
to	O
the	O
surgical	O
intensive	O
care	O
unit	O
.	O
The	O
patient	O
recovered	O
and	O
was	O
ultimately	O
discharged	O
16	O
days	O
later	O
.	O
Pathology	O
report	O
of	O
the	O
spleen	O
described	O
a	O
“capsular	O
laceration	O
with	O
focal	O
parenchymal	O
hemorrhage”	B-PI
—	O
this	O
is	O
approximated	O
as	O
a	O
grade	O
1	O
splenic	O
injury	O
according	O
to	O
the	O
AAST-OIS	O
splenic	O
injury	O
scale	O
.	O
A	O
27-year-old	O
elite-level	O
rugby	O
union	O
player	O
was	O
participating	O
in	O
an	O
international	O
test	O
match	O
and	O
sustained	O
a	O
blow	O
to	O
his	O
head	O
from	O
another	O
player's	O
knee	O
.	O
There	O
was	O
no	O
loss	O
of	O
consciousness	O
or	O
memory	O
loss	O
although	O
immediately	O
after	O
impact	O
the	O
patient	O
reported	O
feeling	O
confused	O
which	O
resolved	O
over	O
several	O
seconds	O
.	O
He	O
continued	O
playing	O
for	O
an	O
additional	O
15	O
min	O
before	O
alerting	O
the	O
head	O
team	O
physician	O
(MRS)	O
and	O
match	O
day	O
doctor	O
(JSA)	O
about	O
vision	O
changes	O
in	O
his	O
right	O
eye	O
and	O
stating	O
his	O
left	O
leg	O
was	O
“not	O
responding	O
properly”.	O
Upon	O
sideline	O
evaluation	B-GOAL
his	O
neurologic	O
exam	O
was	O
normal	O
despite	O
the	O
patient's	O
subjective	O
complaints	O
.	O
However	O
his	O
complaint	O
of	O
neurological	O
deﬁcits	O
prompted	O
immediate	O
application	B-GOAL
of	O
a	O
cervical	O
collar	O
and	O
transport	O
to	O
the	O
nearest	O
Level	O
1	O
trauma	O
center	O
for	O
further	O
evaluation	B-GOAL
.	O
The	O
decision	O
for	O
transport	O
was	O
based	O
on	O
his	O
subjective	O
neurological	O
symptoms	O
after	O
a	O
direct	O
blow	O
to	O
the	O
head	O
despite	O
a	O
normal	O
examination	B-GOAL
.	O
Upon	O
arrival	O
to	O
the	O
emergency	O
department	O
the	O
player	O
was	O
hemodynamically	O
stable	O
with	O
a	O
Glasgow	O
Coma	O
Scale	O
(GCS)	O
of	O
15	O
No	O
other	O
injuries	B-PI
were	O
identiﬁed	O
.	O
His	O
medical	O
history	O
included	O
three	O
documented	O
head	O
concussions	O
that	O
all	O
responded	O
to	O
conservative	O
measures	O
with	O
no	O
prolonged	O
symptoms	O
he	O
had	O
no	O
other	O
known	O
head	O
trauma	O
.	O
Additional	O
history	O
was	O
relevant	O
for	O
minor	O
musculoskeletal	O
trauma	O
including	O
an	O
acromioclavicular	O
separation	O
but	O
no	O
other	O
medical	O
conditions	O
or	O
co-morbidities	O
.	O
On	O
exam	O
the	O
player	O
could	O
accurately	O
recall	O
the	O
event	O
.	O
The	O
neurological	O
motor	O
exam	O
was	O
unremarkable	O
in	O
all	O
four	O
extremities	O
including	O
his	O
left	O
lower	O
extremity	O
.	O
He	O
had	O
intact	O
sensation	O
to	O
light	O
touch	O
in	O
his	O
upper	O
and	O
lower	O
extremities	O
.	O
Pupils	O
were	O
equal	O
round	O
and	O
reactive	O
to	O
light	O
.	O
Extraocular	O
movements	O
and	O
cranial	O
nerves	O
II-XII	O
were	O
intact	O
.	O
Emergent	O
CT	B-IM
scan	O
without	O
contrast	O
identiﬁed	O
a	O
crescent	O
shaped	O
extra-axial	O
ﬂuid	O
collection	O
consistent	O
with	O
a	O
subdural	O
hematoma	B-PI
and	O
10	O
mm	O
midline	O
shift	O
.	O
The	O
posterior	O
and	O
temporal	O
horn	O
of	O
the	O
right	O
ventricle	O
were	O
nearly	O
completely	O
effaced	O
.	O
The	O
posterior	O
aspect	O
of	O
the	O
hematoma	B-PI
was	O
hyperdense	O
consistent	O
with	O
an	O
acute	O
bleed	O
while	O
the	O
anterior	O
half	O
appeared	O
isodense	O
with	O
the	O
cerebral	O
cortex	O
