B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
null,treatment,null,null,null
fracture,null,null,null,null
null,R.,null,null,null
Trauma,null,null,null,null
null,null,null,null,Surgery
Trauma,null,null,null,null
null,null,null,null,Surgery
fractures,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fractures,null,null,null,null
fracture,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
pain,null,null,null,null
inability,null,null,null,null
trauma,null,null,null,null
null,examination,null,null,null
swelling,null,null,null,null
ecchymosis,null,null,null,null
tenderness,null,null,null,null
painful,null,null,null,null
trauma,null,null,null,null
null,null,Radiographs,null,null
fracture,null,null,null,null
fracture,null,null,null,null
null,null,null,null,surgery
Trauma,null,null,null,null
null,null,null,null,Surgery
null,null,249203,null,null
https://doi.org/10.1016/j.tcr.2020.100348,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,radiograph,null,null
fracture,null,null,null,null
null,null,radiograph,null,null
fracture,null,null,null,null
null,null,radiograph,null,null
null,null,radiograph,null,null
null,reduction,null,null,null
PFNA2,null,null,null,null
null,null,Radiographs,null,null
Trauma,null,null,null,null
null,null,radiograph,null,null
PFNA2,null,null,null,null
null,reduction,null,null,null
null,null,radiograph,null,null
PFNA2,null,null,null,null
null,reduction,null,null,null
fractures,null,null,null,null
hypertension,null,null,null,null
osteoporosis,null,null,null,null
null,null,null,null,surgery
null,null,null,null,surgery
null,treatment,null,null,null
null,treatment,null,null,null
Trauma,null,null,null,null
fractures,null,null,null,null
fracture,null,null,null,null
fractures,null,null,null,null
null,management,null,null,null
fractures,null,null,null,null
Trauma,null,null,null,null
pain,null,null,null,null
fractures,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
trauma,null,null,null,null
question,null,null,null,null
fractures,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
accepting,null,null,null,null
question,null,null,null,null
institu-,null,null,null,null
materials,null,null,null,null
D.,null,null,null,null
N.,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
Fracture,null,null,null,null
Trauma,null,null,null,null
null,R.,null,null,null
fractures,null,null,null,null
Trauma,null,null,null,null
P.,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
null,Ş.,null,null,null
F.,null,null,null,null
Trauma,null,null,null,null
fracture,null,null,null,null
null,treatment,null,null,null
fractures,null,null,null,null
128–133,null,null,null,null
F.,null,null,null,null
null,treatment,null,null,null
fractures,null,null,null,null
null,R.,null,null,null
P.,null,null,null,null
P.,null,null,null,null
fractures,null,null,null,null
Injury,null,null,null,null
Injury,null,null,null,null
null,R.,null,null,null
Trauma,null,null,null,null
N.,null,null,null,null
fractures,null,null,null,null
null,null,MOJOR,null,null
fractures,null,null,null,null
fractures,null,null,null,null
Injury,null,null,null,null
